              RESIDÊNCIAS TERAPÊUTICAS

COD. UNIDADE  NOME UNIDADE                                          ENDEREÇO                    COD POSTAL
     11788          SRT 01  RUA CLAUDIO DA COSTA, 24 - IRAJÁ                                     21235-450
     11680          SRT 02  RUA PERNAMBUCO Nº 635- CASA 08 - ENGENHO DE DENTRO                   20730-030
     11681          SRT 03  RUA PERNAMBUCO, 780 AP. 602 - ENGENHO DE DENTRO                      20730-030
     11682          SRT 04  RUA CATULO CEARENSE, 04 APTO 305 - ENGENHO DE DENTRO                 20730-320
     11683          SRT 05  RUA ADOLFO BERGAMINI, 302 - ENGENHO DE DENTRO                        20730-000
     11684          SRT 06  RUA AQUIDABÃ, 842 AP.411- LINS                                       20720-295
     11685          SRT 07  RUA ADOLFO BERGAMINI, 331 AP. 102 - ENGENHO DE DENTRO                20730-000
     11686          SRT 08  RUA ENGENHEIRO EMILIO BAUMGART, 622                                  21610-240
     11687          SRT 09  RUA SANTA MARIANA, 291 - HIGIENÓPOLIS                                21061-150
     11688          SRT 10  RUA THOMPSON FLORES, 96 CB 01 - MÉIER                                20710-090
     11689          SRT 11  RUA MONTEVIDEU, 1140 CASA 01 - PENHA                                 21020-290
     11690          SRT 12  RUA MAGALHÃES CORREIA 75 - HIGIENÓPOLIS                              21051-510
     11691          SRT 13  TRAVESSA MARIETA RÉIS 52 - PILARES                                   20755-070
     11692          SRT 14  RUA DOUTOR OLINTO DE MAGALHÃES, 31 - APTO 101 - BL. C - VIDIGAL.     22450-250
     11693          SRT 15  RUA CAMBAÚBA, 1290 APTO 103 - JARDIM GUANABARA                       21940-001
     11694          SRT 16  RUA SOUSA FRANCO 491 AP 202 VILA ISABEL                              20551-120
     11695          SRT 17  RUA MAESTRO HENRIQUE VOGLER, 141 CS 2 - BRÁS DE PINA                 21235-680
     11696          SRT 18  RUA CAPINTUBA Nº 206 - VAZ LOBO                                      21361-210
     11697          SRT 19  RUA VISCONDE DE CABO FRIO 20 AP 101 TIJUCA                           20510-160
     11698          SRT 20  RUA MAJOR REGO, 83 - OLARIA                                          21073-440
     11700          SRT 21  RUA ROBERTO DOYLE MAIA 51 - BANGU                                    21830-070
     11699          SRT 22  RUA DO NÍQUEL Nº 359 - CURICICA                                      22710-055
     11701          SRT 23  RUA MANOEL RODRIGUES DE MOURA 141- BANGU                             21830-720
     11702          SRT 24  RUA MIGUEL FERNANDES, 437 - CACHAMBI                                 20780-060
     11703          SRT 25  ESTRADA DO TINGUI Nº 1951 - CAMPO GRANDE                             23067-551
     11704          SRT 26  RUA MOISES DE OLIVEIRA Nº 175 - SANTA CRUZ                           23550-285
     11705          SRT 27  RUA ITUBIRDES ESTEVES Nº 49 - CAMPO GRANDE                           23045-375
     11706          SRT 28  RUA ABRAM LUSTMAM Nº 350 COND. GRAMADO - TAQUARA                     22715-550
     11707          SRT 29  RUA APIACÁS, 294/201 FUNDOS - JACAREPAGUÁ                            22730-190
     11708          SRT 30  PRAÇA DANIEL LAMES 34 - CAMPO GRANDE                                 23081-050
     11709          SRT 31  RUA SÃO TEODÓSIO, 153 - INHOAIBA                                     23062-180
     11710          SRT 32  RUA LATIFE LUVIZARO 359 - MARECHAL HERMES                            21555-550
     11711          SRT 33  RUA ATITUBA, 101 FUNDOS AP. 102 - TAQUARA                            22730-170
     11712          SRT 34  RUA ALZIRA VALDETARO SAMPAIO 105 - SAMPAIO                           20950-070
     11713          SRT 35  RUA CHAPOT PREVOST, 364 - FREGUESIA/ ILHA DO GOVERNADOR              21910-030
     11714          SRT 36  RUA FERNANDA 840 - SANTA CRUZ                                        23520-132
     11715          SRT 37  RUA COXITO GRANADO Nº 40 - CAMPO GRANDE                              23045-380
     11716          SRT 38  ESTR. OUTEIRO SANTO, 509 CASA 36 - JACAREPAGUÁ                       22713-169
     11717          SRT 39  RUA DIAS DA CRUZ 174 AP 302 - MEIER                                  20720-010
     11718          SRT 40  RUA GRALHA DO CAMPO, 48 TÉRREO AP. 101 - TAQUARA                     22713-740
     11719          SRT 41  RUA GRALHA DO CAMPO, 48 SOBRADO 102 - TAQUARA                        22713-740
     11720          SRT 42  RUA JIÇARA Nº 201 - CAMPO GRANDE                                     23045-030
     11721          SRT 43  EST. DO TINDIBA, 1493 APTO 601 BLOCO 01- TAQUARA.                    22740-362
     11722          SRT 44  RUA HAIA 225 - ILHA DO GOVERNADOR                                    21920-180
     11723          SRT 45  RUA CONSELHEIRO FERRAZ 112 - LINS DE VASCONCELOS                     20710-350
     11724          SRT 46  RUA SÃO POLICARPO 36- TAQUARA                                        22775-320
     11725          SRT 47  RUA PICO DA TIJUCA 115 - TAQUARA                                     22715-380
     11726          SRT 48  RUA MENEZES DE ATAÍDE 62 - SANTA CRUZ                                23520-005
     11727          SRT 49  ESTR. DO TINDIBA, 891 AP. 103 BL 2 - TAQUARA                         22740-362
     11728          SRT 50  AV. PROF. MANOEL DE ABREU 196 - MARACANÃ                             20550-170
     11729          SRT 51  LADEIRA BELA VISTA, 3 - TAQUARA                                      22713-572
     11730          SRT 52  AV. SAMPAIO CORRÊA, 39 CASA 01 COND. STELA DO PATROCÍNIO - TAQUARA   22713-560
